Column1;Unnamed: 0;date;label;claim;tags;url;summary;poems;alt
606;2151;06/08/2021;false; The survival rate for COVID-19 is over 99% for most age groups. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/aug/06/instagram-posts/why-covid-19-survival-rate-not-over-99/;"Most people who contract COVID-19 will not die, though an individual should not weigh their own chances of death by looking at national statistics.
The delta variant has lowered the effectiveness of the vaccines, although researchers aren't exactly sure to what extent.
";"I got 99 problems,
and your survival-rate ain't one.
Want to weight your chanches?
National statistics ain't the plan.

New variants adapt,
vaccines effectiveness is snapped, 
Researchers try to set up trap,
but they don't know how big is the wrap.";
633;2291;30/07/2021;false; CDC will revoke the emergency use authorization of the PCR COVID tests because those tests don t differentiate between COVID and flu viruses. Translation: They ve been adding flu cases to Covid cases when using that test. ;['Public Health', 'Health Check', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/cdc-test-cant-differentiate-between-covid-and-flu-/;"Posts circulating on Facebook and Instagram incorrectly claim that the Centers for Disease Control and Prevention is withdrawing its COVID-19 test because it cannot differentiate between the COVID virus and flu viruses.
The CDC’s emergency use authorization from the Food and Drug Administration was not for a test that is distributed or sold but a protocol specifying which reagents were needed to test for the COVID virus.
According to experts, the CDC chose to withdraw its EUA request because it wanted to direct laboratories and testing facilities to use a protocol that tests for multiple viruses at once, not just the COVID virus, to save time and resources as flu season approaches.
";"COVID has a knack
for going on the attack
But its not without competition
Despite its recognition

While the tests wont change
The reagents will not do
It might seem strange
But is what others will do too";
637;2297;27/07/2021;false; It makes no sense to require vaccinations for the previously infected. ;['Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2021/jul/27/facebook-posts/heres-why-experts-say-people-who-had-covid-19-shou/;"People who have had COVID-19 do have some level of immunity; however, the CDC recommends vaccination because it provides better protection.
Naturally acquired immunity may not be as effective against variant strains of the virus that cause COVID-19.
";"""if you had it, you don't need the vaccine"",
people say. But the CDC, still protective,
states natural immunity is not that effective
against other strains that cause COVID-19";
666;2436;23/07/2021;false; Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'TikTok posts'];https://www.politifact.com/factchecks/2021/jul/23/tiktok-posts/biden-harris-doubted-trump-covid-19-vaccines-not-v/;"Video clips appear to show Joe Biden and Kamala Harris raising doubts about COVID-19 vaccines, but they were raising concerns about the rollout by then-President Donald Trump, not the vaccines themselves.
";"Joe and Kamala were both being
About vaccines not being good
But no, they actually were disagreeing
With where Trump once stood.";
241;683;21/07/2021;barely-true; Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Tomi Lahren'];https://www.politifact.com/factchecks/2021/jul/21/tomi-lahren/fact-checking-tomi-lahren-vaccines-and-covid-19-su/;"The overall COVID-19 case fatality rate in the U.S. is less than 2%, but experts say that’s not the same as a 99% chance of survival.
The post leaves out the fact that vaccination substantially reduces the risk of infection.
Reports indicate that more than 99% of recent COVID-19 deaths in the U.S. are among unvaccinated people.
";"99 percent? not quite.
It must be known the reduces of infection with vaccines. 
it’s not the 2 percent but the 99 death percent. 
Just vaccinate, by all means!";
310;864;27/06/2021;pants-fire; Prairie State power plant is the cleanest coal-fired power plant in the nation. ;['Environment', 'Energy', 'Illinois', 'Rodney Davis'];https://www.politifact.com/factchecks/2021/jun/27/rodney-davis/no-southern-illinois-prairie-state-not-nations-cle/;"Experts pointed to multiple metrics by which to compare how ""clean"" coal plants are, but federal data shows Prairie State did not come out at or near the top on any of them.
";"Dirty is coal,
we want none of that
cleaning it is the goal
that humanity has set.

Experts have told
multiple metrics to compare
how clean are these coal
power plants aware.

However,
Federal data shows
that Prairie State
doens't deserve any bows.

The truth is,
the plant did not come out at the top
in fact this,
is nothing more than a claim flop.";
723;2865;15/06/2021;false; Emails show that Fauci knew hydroxychloroquine worked [and] emailed friends about it being effective. ;['Health Care', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2021/jun/15/facebook-posts/no-faucis-emails-dont-prove-he-knew-hydroxychloroq/;"In his emails, Fauci acknowledged the existence of anecdotal evidence claiming hydroxychloroquine's effectiveness against COVID-19 but never endorsed it himself and said he was waiting for results from a clinical trial for any definitive proof.
The clinical trial ended last June after researchers found the drug provided no additional benefit in treating the virus.
";"Hydroxychloroquine seems to be
the new fashion around.
Everyone wants some tea,
like a solution was found.

Fauci realized, 
acnedotal evidence was around,
so he didn't compromised
until definitive proof was found.

June came around,
and so the clinical trial end.
Fauci ain't no clown,
no additional benefit the drug lend.";
750;3010;02/06/2021;false; An email from Dr. Anthony Fauci shows everyone was lied to about wearing masks to prevent the spread of COVID-19. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/jun/02/instagram-posts/post-using-old-fauci-email-falsely-claims-fauci-li/;"The email from Fauci is from February 2020, when masks weren’t widely recommended to fight COVID-19. By April 2020, Fauci and other leading public health authorities recommended mask wearing.
";"Wear your mask
and stay safe.
It’s a simple task,
Have a little faith. 
It helps preventing the spread,
Fauci didn’t lie.
Help fight the virus instead,
or do you read the news high?
On health authorities you can rely.
On Feb 2020, they weren’t widely recommended,
By April 2020 that idea was suspended. ";
295;832;21/05/2021;barely-true; COVID cases in India plummet after government promotes ivermectin and hydroxychloroquine use. ;['Public Health', 'Coronavirus', 'The Gateway Pundit'];https://www.politifact.com/factchecks/2021/may/21/gateway-pundit/no-proof-drugs-not-approved-us-covid-19-caused-dro/;"On April 28, India’s government recommended hydroxychloroquine as a preventive medicine for people who are near patients in home isolation who have mild or no COVID-19 symptoms, and suggested the use of ivermectin to treat those patients.
Neither drug is approved in the U.S. for COVID-19. The U.S. Food and Drug Administration and the World Health Organization recommend against using them to prevent or to treat the virus.
COVID-19 cases in India began to drop in mid-May after a nearly vertical spike over the previous several weeks.
";"Reality in true,
is not everything you see.
Dropping, the cases began to,
Who knows, maybe because of the tea.

Hydroxy and Ivermectin,
Neither is approved by WHO,
taking them is like a sin,
which you'll regret in time due.";
781;3275;11/05/2021;false; For vaccine rates among Americans 65 and older, there’s virtually no difference between white, Black, Hispanic, Asian American. ;['Corrections and Updates', 'Health Care', 'Health Check', 'Coronavirus', 'Joe Biden'];https://www.politifact.com/factchecks/2021/may/11/joe-biden/biden-boasts-about-equitable-senior-covid-19-vacci/;"Biden has claimed multiple times that the Covid-19 vaccination rate for people 65 and older is equal between white people and people of color. But there is no available data that supports his claim.
Only select states track vaccination data based on both race/ethnicity and age, and most of that data shows disparities continue.
National data of all ages also indicates that white people are being vaccinated at higher rates than people of color.
";"Equality between race
needs to be achieved.
This claim sure has grace,
but should not be believed.

Only select states
track data based on race and age,
and when we look at the rates,
disparity takes the stage.

On the national point of view,
data of all ages indicates
that the white people crew
gets vaccinated at higer rates
than their fellow color mates.";
793;3412;28/04/2021;false; Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed. ;['Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/apr/28/instagram-posts/labeled-swabs-photo-are-quality-control-not-sign-c/;"An image that shows a COVID-19 testing kit with control swabs labeled “positive” and “negative” is legitimate, but it doesn’t prove that COVID-19 tests are pre-loaded with a result. The swabs are used for quality control to make sure the test is working correctly, not for patient testing.
Control materials are routinely included in medical testing kits to ensure that the tests are performing as expected and recording the correct results.
";"All of these people with their misinformation
Must be the truth if its an image on the screen
Affecting our generation
They should stop making a scene

Professionals work hard
Safeguarding the test quality
So you dont have to be on guard
Concerning its funcionality";
809;3554;16/04/2021;false; Says science shows the physiological effects of wearing masks include hypoxemia, hypercapnia, shortness of breath, toxicity and increased muscle tension. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Diamond and Silk'];https://www.politifact.com/factchecks/2021/apr/16/diamond-and-silk/medical-hypotheses-journal-article-lacks-evidence-/;"The journal cited in the post, Medical Hypotheses, says its purpose is to publish “theoretical papers.""
Claims about ill effects from mask wearing such as hypoxemia and hypercapnia, which are listed in the article, have been debunked.
";"A new journal claims to support the truth
But of science there is only the name
Medical Hypotheses as it is called
Decided that masks were to blame
For almost everything, only short of being slewth

Hypoxemia, hypercamia and shortness of breath
Acompanied by toxicity and increased muscle tension
Were all linked to mask wear
For this false allegation the journal deserves detention.";
835;3841;11/03/2021;false; Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus. ;['Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/mar/11/instagram-posts/theres-no-scientific-evidence-support-these-supple/;"While research has been mixed on the benefits of some supplements in treating or preventing COVID-19, there is no scientific evidence to support the claim that they can kill the coronavirus.
";"A recipe was made,
Vitamin C,
Colloidal silver sprayed,
Vitamin D,
Black seed oil weighed,
Mix it free,
and the Coronavirus is slayed.

But,
Like potions from witchcraft,
there's no evidence of their results.
Scientist don't support this art,
this is straight out of cults.";
224;652;09/03/2021;half-true; In rejecting his amendment, Democrats voted to send reopening money to schools that refuse to reopen. ;['National', 'Education', 'Stimulus', 'Coronavirus', 'Marco Rubio'];https://www.politifact.com/factchecks/2021/mar/09/marco-rubio/rubio-takes-democratic-school-reopening-vote-out-c/;"Schools would get funds under the American Rescue Plan Act regardless of whether they have fully reopened.
A mix of factors drive school reopening decisions, such as the needs of students and local infection rates, and schools occasionally change course depending on circumstances.
The COVID relief bill funds a wide range of school actions, from immediate steps to prevent viral spread to remedial education to longer term building ventilation upgrades.
";"There are many people at a school,
So the coronavirus spreads easily.
Sometimes schools need to close,
To contain this spread.

It's not a matter of choice, but a matter of safety,
So helping money will still be given,
As it's used for activities when the school is open.";
842;3968;08/03/2021;false; Video suggests Dr. Anthony Fauci said vaccines don’t protect against COVID-19. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/mar/08/instagram-posts/misleading-video-suggests-dr-anthony-fauci-said-va/;" The video shows real clips of Dr. Anthony Fauci, but misleading voiceovers have been added.
 Some confusion stems from Fauci’s distinction between the disease, COVID-19, and the SARS-CoV-2 virus, which causes the disease.
 Research shows that the COVID-19 vaccines are effective at protecting people from getting the disease, but it is still unclear whether or not the vaccines will prevent people from becoming infected with the SARS-CoV-2 virus and transmitting it to others.
";"Don´t let the voiceovers get you mislead,
Dr. Fauci has been very clear.
The vaccines don't seem to stop the spread,
They just help you not getting sick, so don´t be in fear.";
228;660;23/02/2021;half-true; There s over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account. ;['National', 'Coronavirus', 'Steve Scalise'];https://www.politifact.com/factchecks/2021/feb/23/steve-scalise/has-1-trillion-covid-19-relief-gone-unspent/;"About $1 trillion remains to be disbursed, but a large share of it has been allocated or is scheduled to be spent.
Most of the unspent money was approved in late December, and it takes time to distribute it.
As the economy recovers, some of the money might not be spent.
";"You know a trillion dollars is a lot of money.
So you wouln't expect it to be used in such a hurry.
So don't worry, there is a plan of distribution,
And maybe saving it for another time would be the greatest contribution.";
56;182;27/01/2021;true; Says Joe Biden has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone. ;['History', 'Coronavirus', 'Marco Rubio'];https://www.politifact.com/factchecks/2021/jan/27/marco-rubio/how-joe-bidens-first-executive-orders-compare-past/;"The total number of presidential directives signed by Biden during his first two days in office is greater than the number signed by Trump and Obama over the same period.
The available record before FDR isn’t complete enough to definitively say whether Rubio is also right about all presidents, but experts said it’s likely that his claim still holds.
It’s worth noting that Biden issued multiple orders directed at a specific issue that’s actively affecting the entire nation: the coronavirus pandemic.
";"In executive orders, Biden takes the crown
Obama, Trump and maybe FDR, all took down. 
The pandemic got an hold on Biden,
so every issue is meant to be widen.";
414;1274;26/01/2021;barely-true; We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports. ;['Education', 'Sports', 'New York', 'Coronavirus', 'Colin Schmitt'];https://www.politifact.com/factchecks/2021/jan/26/colin-schmitt/sweeping-claim-about-safety-youth-sports-lacks-evi/;"Limited data has shown that some sports do not result in widespread transmission of coronavirus, but much remains unknown. Outdoor activities where social distancing can be maintained carry the least risk.
Indoor ice hockey in particular has caught epidemiologists' attention for several separate cases of virus transmission in different parts of the country.
Any activity where masking and social distancing cannot be maintained carries risk of transmission, experts said.
";"No one would think simple contact would be dangerous
but the truth can be treacherous
Sports for good example
All thats needed is a little sample

So practice some distancing
Wearing face coverings
is quite riveting
especially when you considers all the colorings!";
91;292;21/01/2021;true; There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever. ;['National', 'Coronavirus', 'Pennsylvania', 'Pat Toomey'];https://www.politifact.com/factchecks/2021/jan/21/pat-toomey/fact-checking-pat-toomeys-claim-families-six-figur/;"Sen. Pat Toomey this week criticized President Joe Biden’s proposed $1.9 trillion coronavirus relief package, saying the direct payments Biden wants to send Americans are poorly targeted to those most in need.
Married couples making up to $150,000 annually would qualify for $2,800 in new payments, on top of the $1,200 they should have received this month from the relief package then-President Donald Trump signed into law late last year.
Together, those payments would total $2,000 per person — the target Democrats in Congress set, Trump made a late and unsuccessful push for, and that Biden is now pursuing from the White House.
";"Biden wants to relief the american pockets.
though it might end up on already filled ones.
Married couples get the benefits
and the ones who need it wont get the funds.";
887;4666;18/12/2020;false; 21% of people are having serious adverse events from (the Moderna) vaccine. ;['National', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers'];https://www.politifact.com/factchecks/2020/dec/18/blog-posting/video-shared-facebook-inflates-risk-moderna-vaccin/;"Moderna’s data shows that 0.5% of people had a serious adverse reaction.
";"With everything being so unstable
We must be careful of misinformation
Since its so propagable
And can light up a nation

False news have been spread
That one fifth of the Moderna vacinated were unwell
But the readers were misled
Only 1 in 200 that was the nutshell.";
458;1411;14/12/2020;barely-true; Says Jon Ossoff wants total, blanket amnesty and he wants a total lockdown. ;['Georgia', 'Immigration', 'Public Health', 'Coronavirus', 'David Perdue'];https://www.politifact.com/factchecks/2020/dec/14/david-perdue/jon-ossoff-isnt-total-amnesty-backs-lockdown-only-/;"Democrat Jon Ossoff is challenging GOP Sen. David Perdue in one of two Jan. 5 runoff elections in Georgia that will decide which party controls the Senate.
Ossoff backs a path to legal status for immigrants in the country illegally, not “total, blanket amnesty.”
He is not seeking a lockdown to respond to COVID-19, but would support one if public health experts recommend it.
";"The stage is set,
the candidates are met.
Ossoff versus Perdue
Only one can win from the two,
to decide which party controls
the Senate souls.

Ossoff is on track
to legalize status for those
who found a path
that illegally into the country goes.
He didn't catch a cold,
so that total amnesty blanket you can fold.

Besides,
he's not seeking total lockdown.
He would support experts sides
If they recommend it down.";
331;923;31/10/2020;half-true; When Sen. Kelly Loeffler heard about the COVID-19 risk, she focused on her own portfolio and profited from the pandemic. ;['Georgia', 'Ethics', 'Financial Regulation', 'Coronavirus', 'Raphael Warnock'];https://www.politifact.com/factchecks/2020/oct/31/raphael-warnock/fact-checking-raphael-warnocks-claim-georgia-sen-k/;"Loeffler, a GOP Georgia senator, benefited from stock transactions she made beginning on the same day she received a private briefing for senators early in the COVID-19 outbreak. Some stock purchases were in companies poised to see increased business because of the virus.
A Senate Ethics Committee investigation found no evidence she broke laws or Senate rules. She said she did not direct the trades herself.
After an outcry over the transactions, Loeffler said that she sold all her individual stock holdings and that she incurred losses as a result.
";"Being in the right place, 
at the right time
can get you first in the race
and earn you some dime.

Loeffler likes trading,
but still has a job to do.
She didn't focus on making
her portofolio ""boom"".

However,
Transactions were made,
Even though she didn't direct,
And after the trade,
Money in the pocket was set.

No laws were broken
or Senate rules
but with an outcry spoken,
she lost all her jewels.";
97;313;30/10/2020;true; Says Dan Forest has missed almost half of the Board of Education meetings during the pandemic. ;['Education', 'North Carolina', 'Coronavirus', 'Roy Cooper'];https://www.politifact.com/factchecks/2020/oct/30/roy-cooper/cooper-right-about-forest-education-board-attendan/;"North Carolina Gov. Roy Cooper (D) faces a challenge from Lt. Gov. Dan Forest (R).
In a debate, Cooper said Forest has missed ""almost half"" of the state's Board of Education meetings, while Forest said he'd been to ""almost every one of those meetings.""
Records show Forest has missed 46% of the board meetings held since March 10, when Cooper declared a State of Emergency because of the coronavirus outbreak.
";"A new challenger approaches Forest
Cooper who he believes to surpass
But Cooper wasn't about to be made an ass

Cooper answered back
That during the pandemic
For Forest, missing meetings had become epidemic

Cooper at least work he had
Forest declared that almost all he attended
But only 13 out of 28 he frequented
The only response to the truth was to stay mad";
952;33335;15/10/2020;false; According to a recent CDC report, almost everyone — 85% — who got the coronavirus in July was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn’t work the way they tell us it works. ;['Public Health', 'Coronavirus', 'Tucker Carlson'];https://www.politifact.com/factchecks/2020/oct/15/tucker-carlson/tucker-carlson-distorts-new-cdc-report-makes-false/;"The CDC report showed a correlation between testing positive for the coronavirus and going to bars and restaurants, where masks can’t be effectively worn. That counters Carlson’s claim that the July cases were “wearing a mask” and “infected anyway.”
The CDC report did not assess the impact of mask wearing on getting the coronavirus, and the study’s authors said the participants might not be representative of the U.S. The study dealt with 154 people who tested positive in July, not all the positive cases in July.
Masks are most effective as ""source control,"" preventing infected people from transmitting the virus. Experts say they offer the wearer some — but not total — protection.
";"CDC reports and Carlson’s claim are not coherent.
The study was on a group of people, not everyone. 
So why be such an interferant? 
Masks help prevent and not end it.
In bars or restaurants you don’t wear one, 
making it easier to transmit. ";
980;33744;18/09/2020;false; Bill Gates says you don t have a choice to be vaccinated or not. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'YouTube videos'];https://www.politifact.com/factchecks/2020/sep/18/youtube-videos/youtube-video-takes-bill-gates-out-context-coronav/;" Video cuts out the question Gates was responding to and the first part of his answer to make it seem as if he supports mandatory coronavirus vaccinations. ​
";"Media loves to play with words 
whether by using funny metaphors,
or simpply making some disappear,
everything they can do 
to make it seem what they want to.

For example,
implying that Bill Gates supports mandatory vaccinations,
just by cutting some words out of context in the situation.
You see, in reality, it migth no be true,
but it does repay with a lot of views.";
212;619;02/09/2020;mostly-true; More cops have died from COVID this year than have been killed on patrol. ;['National', 'Public Safety', 'Coronavirus', 'Joe Biden'];https://www.politifact.com/factchecks/2020/sep/02/joe-biden/has-covid-19-killed-more-cops-all-other-causes/;"Two separate groups find that more law enforcement officers died from COVID-19 than all other causes, including gunfire and car accidents.
Corrections officers are included in the tally.
";"What are you going to do
when Covid comes for you?
Cops on patrol are dying too.
Gunfire and cars accidents, death's job is done,
but the virus, is the new number one.

correction and detection facilities,
those are places where it's easy to spread.
Their officers are in the tallies,
and to high numbers they lead.";
215;627;19/08/2020;mostly-true; In West Virginia alone, overdoses have increased 50% during the #COVID-19 pandemic. ;['West Virginia', 'Drugs', 'Health Care', 'Coronavirus', 'Carol Miller'];https://www.politifact.com/factchecks/2020/aug/19/carol-miller/have-overdoses-wva-increased-50-during-pandemic/;" West Virginia has seen an overdose spike during the pandemic.
 For the period from April through June, responses by emergency medical services for suspected overdoses rose 33% compared to the same period a year earlier. But for May and June alone, the number rose 47%, which is close to the 50% Miller cited.
";"An hyperbole was used to emphasize a point for effect,
According to Miss Miller
West Virginia people are overdosing
Now more than ever.

Might not be 100% true, but it was a good attention call
For the social strike
That is COVID causing
A WV pandemic overdose spike!";
1023;34517;24/07/2020;false; The United Nations’ new world order agenda will create one world government with one world military and the end of national sovereignty. ;['Environment', 'Climate Change', 'Economy', 'Viral image'];https://www.politifact.com/factchecks/2020/jul/24/viral-image/facebook-post-distorts-uns-sustainable-development/;"A spokesperson at the U.N. confirmed the photo in the Facebook post was fake.
The document depicted in the photo references two action plans from the U.N., but distorts the substance of those plans.  ​
";"
The New World Order is a dangerous thing,
because the end of national sovereignity it would bring.
Photos were distorted,
And ""danger!"" people shouted.

But the reality is often more boring...
Since members of U.N signing unrelated papers
Is no reason to worry.";
1022;34515;24/07/2020;false; Says Sen. Thom Tillis doesn’t think restaurant workers should have to wash their hands. ;['Public Health', 'North Carolina', 'Coronavirus', 'Majority Forward'];https://www.politifact.com/factchecks/2020/jul/25/majority-forward/tillis-never-said-restaurant-workers-shouldnt-have/;"A new television ad by Majority Forward PAC says U.S. Sen. Thom Tillis (R-NC) “doesn’t think restaurant workers should have to wash their hands.”
The ad doesn't provide context for the comments, which Tillis made in 2015.
Tillis was making a point about regulations, not offering his opinion on whether workers should wash their hands.
";"A simple twist of words
Not something we should look towards
Warps the intentions
With no consistent mentions

Tillis gave his toughts
without any knots
He would be fine in the morning
wit at least a proper warning";
593;2124;08/07/2020;barely-true; Dr. Fauci: No reason to be wearing a mask. ;['National', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2020/jul/08/facebook-posts/video-shows-outdated-face-mask-guidance-dr-anthony/;"An old video of Dr. Anthony Fauci saying that people don’t need to wear face masks was taken out of context.
Since April, the CDC has recommended face coverings to prevent the spread of COVID-19, and Fauci has pushed for their use as well.
";"A recent video displays the acclaimed doctor Fauci
Speaking against masks, stating
""No reason to be wearing mask""
But taking things out of context is frustating

The mentioned video was from 4 months ago
When the pandemic wasn't such a deathblow
Since then masks are advisable
Therefore the label of barely-true is assignable.";
274;769;07/07/2020;mostly-true; Federal aid for state and local governments through a proposed coronavirus relief bill would amount to half of what the Republicans put onto the national debt. ;['National', 'Debt', 'Coronavirus', 'Nancy Pelosi'];https://www.politifact.com/factchecks/2020/jul/07/nancy-pelosi/pelosi-compares-cost-state-and-local-aid-coronavir/;"Pelosi said that state and local aid in the Democrats’ proposed coronavirus relief bill would cost half as much as the Republicans’ 2017 tax bill.
State and local aid proposed by the Heroes Act would cost about half as much as the tax bill.
The statement doesn’t tell the full picture about what has caused increases in the national debt since 2017.
";"Democrats and Republicans,
What is said is mostly-true.
2017 tax bills was a fact,
The coronavirus relief bill is too.
Pelosi said the state helped,
Aid proposed by the Heroes Act.";
1041;34662;06/07/2020;false; People are starting to enter ERs with fungal lung infections from wearing masks!! ;['Public Health', 'Facebook Fact-checks', 'California', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2020/jul/06/facebook-posts/mask-wearing-causing-fungal-lung-infections-no-ano/;"A Facebook post claims people are checking into ERs due to fungal lung infections caused by wearing masks meant to prevent COVID-19.
Regional, statewide and national emergency physician groups say they haven't seen any reports to support this.
Health experts say there’s no evidence that wearing standard masks, such as surgical masks or ones made of fabric, is harmful to the general public.
Experts recommend wearing face coverings to slow the coronavirus.
They also say it’s important to wash your hands and to wash reusable masks regularly.
";"Imagine using a mask and getting infected
Not because of Corona 
But because of stupidity collected
Welcome to the Facebook personna.

Going back to common sense
Health experts claim theres no reason to worry,
These posts come in major offence
And your hands shouldn't be dirty";
1050;34785;25/06/2020;false; OSHA says masks don t work to reduce COVID-19 transmission and violate OSHA oxygen levels. ;['Labor', 'Public Health', 'Workers', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2020/jun/25/facebook-posts/no-osha-does-not-say-masks-dont-work-against-covid/;"OSHA recommends that masks be worn to help slow the spread of COVID-19.
Masks aren’t a cure to prevent spread of COVID-19, experts say. But they are an effective tool in slowing transmission.
";"OSHA doesn't know
About the masked people oxygen levels,
But if it is certain of anything
It's how to fight these respiratory virus devils.

OSHA has confirmed: masks may slow it, 
But they alone won't cease the COVID-19 transmission!
To stop you from infecting your loved ones,
That's the masks real mission.";
192;587;08/06/2020;true; Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates. ;['Public Health', 'Wisconsin', 'Coronavirus', 'Glenn Grothman'];https://www.politifact.com/factchecks/2020/jun/08/glenn-grothman/glenn-grothman-target-about-tie-between-vitamin-d-/;"U.S. Rep. Glenn Grothman touted a correlation between vitamin D deficiencies and COVID-19 deaths, suggesting the supplement may help combat the virus.
Early research verifies that correlation, but more work needs to be done.
Grothman emphasized that point and didn’t imply vitamin D is a cure for COVID-19.
";"From the moment we are born
Our doctors and mothers say
You should eat fruits and vegetables 
Including oranges

There is a clear correlation 
Between COVID deaths 
And lack of proper D vitamination
Along with more tests";
312;895;29/05/2020;mostly-true; Says researchers found a fabric that kills coronaviruses ;['Public Health', 'Wisconsin', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2020/may/30/facebook-posts/research-fabric-can-neutralize-coronavirus-masks/;"“Electroceutical fabric” was developed in 2017 as an antimicrobial wound dressing, but a new study shows it is also effective at neutralizing coronaviruses.
The makers are seeking FDA emergency approval to use it for COVID-19 face masks.
Metal embedded in the fabric creates an electric current that stops the virus from assembling and attaching to the host after a minute of exposure to the electrical field.
These findings are in a preliminary study that has not yet gone through the peer-review process.
";"Researchers work very hard
Some of them to make the world a better place,
But celebrating too early
Might end up in disgrace.

An “electroceutical fabric” was invented in 2017,
To fight microbial fuddy-duddy
But if it can successfully stop COVID-19
It's still a preliminary study.";
714;2744;27/05/2020;pants-fire; [U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did. ;['National', 'Coronavirus', 'Pennsylvania', 'Donald Trump'];https://www.politifact.com/factchecks/2020/may/27/donald-trump/trump-said-pa-rep-conor-lamb-backed-nancy-pelosi-h/;"On Memorial Day, President Donald Trump attacked a Democratic congressman from western Pennsylvania, labeling him an “American fraud” and accusing of supporting Nancy Pelosi for house speaker, even though he had promised voters he would oppose her.
A quick search of Lamb’s voting record shows that Trump’s claim is not true. He was one of 15 Democrats in Congress who did not vote for Pelosi in the January 2019 speaker election. Lamb voted for U.S. Rep. Joe Kennedy III of Massachusetts instead.
It wasn’t the first time Trump made a false claim about Lamb. In March 2018, Trump falsely told attendees at a private fundraiser for Missouri Senate candidate Josh Hawley that Lamb “ran on a campaign that said very nice things about me.”
";"Well well well,
Would you look at that?
Just another claim
That has no fact.

Trump did it again,
another blatant lie.
A quick search eye
and this claim is slain.

Lamb was clear,
He didn't want Pelosi near.
So he voted for Kennedy instead,
that's the true you need to spread.";
1075;35187;21/05/2020;false; The novel coronavirus was man-made. ;['Illinois', 'Coronavirus', 'Kimberly Lightford'];https://www.politifact.com/factchecks/2020/may/21/kimberly-lightford/no-novel-coronavirus-was-not-man-made/;"Illinois Senate Majority Leader Kimberly Lightford said the novel coronavirus was ""man-made.""
Research shows the genetic features of the virus rule out the possibility it was created or manipulated in a lab.
In response to our inquiry, Lightford acknowledged she had no evidence to back up her statement.
";"Congratulations!
One more successful man-made production.
The new novel live action adaptation called, ""coronavirus"",
is being streamed worldwide, and it's sure to suprise all of us.

These news come directly from Illinois to us,
they point humans as the creators.
However, it is nature that olds all the copyrigths,
mankind can not take the credits. ";
440;1373;21/05/2020;half-true; Says Joni Ernst claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks. ;['Federal Budget', 'Health Care', 'Public Health', 'Iowa', 'Coronavirus', 'Iowa Democratic Party'];https://www.politifact.com/factchecks/2020/may/21/iowa-democratic-party/did-joni-ernst-flip-her-position-health-care-fundi/;"Democrats and Republicans were at loggerheads in April over whether to sandwich more funding for hospitals and testing with dollars for the Paycheck Protection Program as money ran out for the federal small business loan program.
Sen. Joni Ernst, R-Iowa pivoted in messaging, initially criticizing efforts to include any add-ons to replenish the Paycheck Protection Program, but later said she pushed for hospital and COVID-19 testing that was included in replenishing the PPE funds.
";"The Democrats claim Ernst reversed
While she didn't directly oposse
Fundings for Covid-19 testing she dispersed
Saying it would be later discussed.

Republicans are red 
Democrats are blue,
Joni Ernst may have flipped her position
While playing with omission";
